index,latitude,longitude,year
4000,45.54959767887176,-73.54187428951263,2019
4001,45.52007477080967,-73.6297756433487,2019
4002,45.51693654712809,-73.64048302173615,2019
5002,45.53368199320325,-73.51526074111462,2019
5003,45.52841043752244,-73.51716578006744,2019
5004,45.539824,-73.508752,2019
5005,45.53690747306937,-73.51191401481627,2019
5006,45.53722603812578,-73.49506705999374,2019
5007,45.52331869398737,-73.52012693881989,2019
6001,45.51035067563653,-73.55650842189789,2019
6002,45.53938508196168,-73.54099988937377,2019
6003,45.51100666600306,-73.56760203838348,2019
6004,45.50965520472071,-73.55400860309601,2019
6005,45.500208064155046,-73.57113786041737,2019
6006,45.55789545752947,-73.5765291005373,2019
6007,45.51166045593874,-73.56213569641113,2019
6008,45.51279685582333,-73.56146247242577,2019
6009,45.49811161443597,-73.57761539518833,2019
6011,45.51411452790017,-73.55264469981194,2019
6012,45.51066,-73.56497,2019
6013,45.51340553558378,-73.56259435415267,2019
6014,45.51287121578035,-73.55846643447876,2019
6015,45.515299,-73.561273,2019
6016,45.472503,-73.539285,2019
6017,45.52063377251984,-73.56390595436096,2019
6018,45.51889,-73.56353,2019
6019,45.51799893773692,-73.56818407773972,2019
6020,45.51476724402057,-73.56549113988876,2019
6021,45.5145646696576,-73.56840670108795,2019
6022,45.541719808901306,-73.56517732143402,2019
6023,45.51086,-73.54983,2019
6024,45.60761595633475,-73.50982189178467,2019
6025,45.50714391928411,-73.55511903762817,2019
6026,45.50761009451047,-73.55183601379395,2019
6027,45.502053864057466,-73.57346534729004,2019
6029,45.48084576334506,-73.58386158943176,2019
6031,45.50426292830073,-73.57152342796326,2019
6032,45.50623,-73.55976,2019
6033,45.55828063767652,-73.58315885066986,2019
6035,45.50531166520915,-73.56089115142822,2019
6036,45.50424245563397,-73.553469479084,2019
6037,45.501966859101564,-73.55515256524086,2019
6038,45.49975,-73.55566,2019
6039,45.500779,-73.558826,2019
6040,45.50278649802565,-73.55913430452347,2019
6041,45.50144108135568,-73.56014415621758,2019
6042,45.50060578095098,-73.56544822454453,2019
6043,45.50206,-73.56295,2019
6044,45.521564270906616,-73.57036739587784,2019
6046,45.49831217703312,-73.56725603342056,2019
6047,45.507401678946415,-73.57844352722168,2019
6048,45.49891911390352,-73.55725407600403,2019
6049,45.49760527699099,-73.55534970760345,2019
6050,45.49857779102015,-73.56024205684662,2019
6051,45.529686,-73.601728,2019
6052,45.49751503379366,-73.55257093906403,2019
6053,45.50820461505136,-73.56881439685822,2019
6057,45.4977183451679,-73.5681800544262,2019
6058,45.49932551028458,-73.57176750898361,2019
6059,45.499191207076606,-73.56942057609558,2019
6060,45.501366848348894,-73.56583714485167,2019
6061,45.50139870932151,-73.57178628444672,2019
6062,45.49863930330429,-73.57422709465027,2019
6063,45.49947,-73.57591,2019
6064,45.50038,-73.57507,2019
6065,45.49974475043378,-73.57903361320496,2019
6066,45.50530549708951,-73.58100235462189,2019
6067,45.51249475526989,-73.55087846517563,2019
6068,45.56250903804892,-73.61656039953232,2019
6070,45.5064484,-73.57634872,2019
6072,45.50171494932855,-73.57413053512573,2019
6073,45.50501,-73.57069,2019
6075,45.50829509569767,-73.58064293861388,2019
6076,45.55792114867545,-73.52914720773697,2019
6078,45.50538225593995,-73.56763422489166,2019
6079,45.50975858607626,-73.57610732316971,2019
6080,45.47393028235147,-73.60473453998564,2019
6081,45.49570931691902,-73.5769522190094,2019
6082,45.54990048023633,-73.58308374881744,2019
6083,45.50373771539475,-73.56810629367828,2019
6084,45.495581350533946,-73.55371087789534,2019
6085,45.4952,-73.56328,2019
6086,45.49045242854756,-73.56017231941223,2019
6087,45.49302901258371,-73.56481790542603,2019
6088,45.4891601257399,-73.56777101755141,2019
6089,45.527839413108,-73.59482109546661,2019
6090,45.49487159597493,-73.57112377882004,2019
6091,45.49168652100804,-73.57676714658737,2019
6092,45.49709201687824,-73.57554942369461,2019
6093,45.4912258547597,-73.58763009309769,2019
6094,45.52564776553033,-73.5929274559021,2019
6095,45.49180027678722,-73.58400642871855,2019
6096,45.49356916133978,-73.56857568025589,2019
6097,45.492897397177465,-73.58029425144196,2019
6098,45.49658329569871,-73.5765016078949,2019
6099,45.51506508398211,-73.55922952294348,2019
6100,45.49659,-73.57851,2019
6101,45.479483,-73.61979,2019
6102,45.493034,-73.583836,2019
6103,45.535753085274585,-73.55794072151183,2019
6104,45.51681750463149,-73.5541883111,2019
6105,45.51937252291976,-73.55195805430411,2019
6106,45.52114,-73.54926,2019
6107,45.49367956421703,-73.57914626598358,2019
6108,45.52836601591233,-73.55117082595825,2019
6109,45.513741443172,-73.53838205337523,2019
6110,45.52900206660643,-73.54619935154915,2019
6111,45.52600589494234,-73.54886412620544,2019
6112,45.519139183741046,-73.55786561965942,2019
6113,45.52123044585842,-73.55386108160019,2019
6114,45.52353,-73.55199,2019
6115,45.46685123845205,-73.63162770867348,2019
6116,45.52349210923463,-73.56073021888733,2019
6117,45.50526304478131,-73.57048004865646,2019
6118,45.52510954917077,-73.56020584702492,2019
6119,45.52773089755533,-73.55753839015959,2019
6120,45.53370598779895,-73.55217933654784,2019
6121,45.53456256501449,-73.55478646466509,2019
6122,45.53057,-73.54913,2019
6123,45.52327641182773,-73.55821833014488,2019
6124,45.53193889278052,-73.55343863368034,2019
6125,45.499757,-73.629298,2019
6126,45.53213680524969,-73.55871319770813,2019
6127,45.536582447959766,-73.61622512340546,2019
6128,45.53529548038031,-73.55116009712219,2019
6129,45.52997069129102,-73.56305301189423,2019
6130,45.5367,-73.56081,2019
