Field1,day,emplacemen,index,pk,name,latitude,longitude,trip_per_d,cluster,FID1,FID_1,Field1_1,day_1,is_member,start_stat,index_1,Code,name_1,latitude_x,longitude_,year_x,trip_c,emplacem_1,pk_1,FID_,latitude_y,longitude1,year_y,X_x,Y_x,cluster_1,X_y,Y_y,X_mean,Y_mean,FID_2,DAUID,CDNAME,DAU,OID_,DAU_1,pop_2016,popden,age_0_14,age_15_30,age_30_45,age_p_45,lang_e,lang_f,lang_ef,inc_em,inc_aft,inc_low_,edu_unideg,to_work_ca,to_work_pt,to_work_wa,to_work_bi
12,202,29073,84,84,Parthenais / du Mont-Royal,45.53634600000,-73.57131000000,143.92574260000,66,0,155,305,202,0.00000000000,0.00000000000,84,0.00000000000,Parthenais / du Mont-Royal,45.53634600000,-73.57131000000,2022,29073,29073.00000000000,84.00000000000,631,45.53634600000,-73.57131000000,2022,299231,5044050,66,299225.00000000000,5044055.00000000000,299225.00000000000,5044055.00000000000,2551,24661811,Montr?—al,24661811,1667,24661811,464,18634.50000000000,0.11853448300,0.30172413800,0.37715517200,0.20258620700,0.02150537600,0.23655914000,0.73118279600,54848,46464,0.17200000000,0.38400000000,0.31914893600,0.31914893600,0.21276595700,0.17021276600
13,201,4966,86,86,Parc Pratt (Dunlop / Van Horne),45.51500700000,-73.61978800000,24.70646766000,5,0,278,556,201,0.00000000000,0.00000000000,86,0.00000000000,Parc Pratt (Dunlop / Van Horne),45.51500700000,-73.61978800000,2022,4966,4966.00000000000,86.00000000000,632,45.51500700000,-73.61978800000,2022,295441,5041680,5,295421.00000000000,5041635.00000000000,295421.00000000000,5041635.00000000000,1632,24661400,Montr?—al,24661400,1277,24661400,413,3899.90000000000,0.19370460000,0.16949152500,0.18159806300,0.45520581100,0.04819277100,0.12048192800,0.81927710800,223744,163584,0.02400000000,0.55303030300,0.62857142900,0.17142857100,0.11428571400,0.05714285700
14,85,2630,89,89,Darling / Sherbrooke,45.54532800000,-73.55635200000,30.94117647000,135,0,342,685,85,0.00000000000,0.00000000000,89,0.00000000000,Darling / Sherbrooke,45.54532800000,-73.55635200000,2022,2630,2630.00000000000,89.00000000000,633,45.54532800000,-73.55635200000,2022,300400,5045050,135,300387.50000000000,5045055.00000000000,300387.50000000000,5045055.00000000000,2073,24661777,Montr?—al,24661777,1633,24661777,658,6741.80000000000,0.09878419500,0.25835866300,0.36474164100,0.27811550200,0.01526717600,0.31297709900,0.67175572500,44800,39168,0.25000000000,0.28488372100,0.36046511600,0.48837209300,0.04651162800,0.08139534900
15,202,16586,92,92,M?—tro Rosemont (de St-Vallier / Rosemont),45.53178300000,-73.59779300000,82.10891089000,53,0,455,906,202,0.00000000000,0.00000000000,92,0.00000000000,M?—tro Rosemont (de St-Vallier / Rosemont),45.53178300000,-73.59779300000,2022,16586,16586.00000000000,92.00000000000,634,45.53178300000,-73.59779300000,2022,297162,5043550,53,297147.50000000000,5043555.00000000000,297147.50000000000,5043555.00000000000,2701,24661629,Montr?—al,24661629,1489,24661629,604,10100.30000000000,0.10761589400,0.24006622500,0.30629139100,0.34602649000,0.02970297000,0.26732673300,0.68316831700,54848,46976,0.14900000000,0.35374149700,0.33870967700,0.50000000000,0.12903225800,0.03225806500
16,202,9360,99,99,7e avenue / St-Joseph Rosemont,45.54710800000,-73.56936700000,46.33663366000,47,0,333,667,202,0.00000000000,0.00000000000,99,0.00000000000,7e avenue / St-Joseph Rosemont,45.54710800000,-73.56936700000,2022,9360,9360.00000000000,99.00000000000,635,45.54710800000,-73.56936700000,2022,299383,5045250,47,299363.50000000000,5045255.00000000000,299363.50000000000,5045255.00000000000,2801,24662015,Montr?—al,24662015,1853,24662015,363,7562.50000000000,0.13774104700,0.20661157000,0.41322314000,0.24242424200,0.02739726000,0.35616438400,0.60273972600,52352,46720,0.13700000000,0.32631578900,0.53658536600,0.21951219500,0.09756097600,0.09756097600
17,202,9588,100,100,16e avenue / St-Joseph,45.55287000000,-73.56563100000,47.46534653000,130,0,336,673,202,0.00000000000,0.00000000000,100,0.00000000000,16e avenue / St-Joseph,45.55287000000,-73.56563100000,2022,9588,9588.00000000000,100.00000000000,636,45.55287000000,-73.56563100000,2022,299676,5045890,130,299689.00000000000,5045885.00000000000,299689.00000000000,5045885.00000000000,2530,24662073,Montr?—al,24662073,1904,24662073,1389,10919.80000000000,0.13678905700,0.13318934500,0.27357811400,0.45644348500,0.02877697800,0.37769784200,0.57194244600,50603,44928,0.23700000000,0.30144927500,0.46218487400,0.41176470600,0.07563025200,0.05042016800
18,200,5751,125,125,Cit?— des Arts du Cirque (Paul Boutet / des Regrattiers),45.55987200000,-73.61554100000,28.75500000000,786,0,472,942,200,0.00000000000,0.00000000000,125,0.00000000000,Cit?— des Arts du Cirque (Paul Boutet / des Regrattiers),45.55987200000,-73.61554100000,2022,5751,5751.00000000000,125.00000000000,637,45.55987200000,-73.61554100000,2022,295780,5046670,786,295783.50000000000,5046670.00000000000,295783.50000000000,5046670.00000000000,1608,24662628,Montr?—al,24662628,2424,24662628,701,472.30000000000,0.20684736100,0.24251069900,0.29957204000,0.25106990000,0.08571428600,0.50000000000,0.38571428600,49024,45440,0.23600000000,0.09734513300,0.65957446800,0.34042553200,0.04255319100,0.00000000000
19,201,4644,126,126,Rousselot / Jarry,45.55089900000,-73.62108000000,23.10447761000,391,0,481,959,201,0.00000000000,0.00000000000,126,0.00000000000,Rousselot / Jarry,45.55089900000,-73.62108000000,2022,4644,4644.00000000000,126.00000000000,638,45.55089900000,-73.62108000000,2022,295346,5045670,391,295352.50000000000,5045665.00000000000,295352.50000000000,5045665.00000000000,2491,24662980,Montr?—al,24662980,2766,24662980,756,13309.90000000000,0.15211640200,0.15873015900,0.23148148100,0.45767195800,0.01324503300,0.49006622500,0.47682119200,37568,34880,0.35100000000,0.26623376600,0.40000000000,0.40000000000,0.08000000000,0.12000000000
20,104,3646,129,129,de la Salle / Ontario,45.55186200000,-73.54022800000,35.05769231000,0,0,352,707,104,0.00000000000,0.00000000000,129,0.00000000000,de la Salle / Ontario,45.55186200000,-73.54022800000,2022,3646,3646.00000000000,129.00000000000,639,45.55186200000,-73.54022800000,2022,301659,5045770,0,301625.66666700000,5045723.33333000000,301625.66666700000,5045723.33333000000,2062,24661766,Montr?—al,24661766,1622,24661766,866,11159.80000000000,0.13279445700,0.23094688200,0.39838337200,0.23787528900,0.01197604800,0.40718562900,0.56886227500,52864,46560,0.19800000000,0.28971962600,0.39000000000,0.35000000000,0.13000000000,0.12000000000
22,202,16641,135,135,St-Alexandre / Ste-Catherine,45.50535900000,-73.56774100000,82.38118812000,151,0,81,160,202,0.00000000000,0.00000000000,135,0.00000000000,St-Alexandre / Ste-Catherine,45.50535900000,-73.56774100000,2022,16641,16641.00000000000,135.00000000000,641,45.50535900000,-73.56774100000,2022,299507,5040610,151,299511.00000000000,5040610.00000000000,299511.00000000000,5040610.00000000000,363,24661283,Montr?—al,24661283,1173,24661283,2492,3006.00000000000,0.04614767300,0.41332263200,0.32303370800,0.21749598700,0.29317269100,0.04618473900,0.64658634500,52736,45664,0.35500000000,0.45157657700,0.31174089100,0.15384615400,0.51417004000,0.00809716600
