,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
66,201,4024,188,188.0,Bibliothèque de Verdun (Brown / Bannantyne),45.448262,-73.577856,20.019900497512438
67,202,7280,189,189.0,Beatty / de Verdun,45.45073,-73.572575,36.039603960396036
68,202,7924,190,190.0,Métro Monk (Allard / Beaulieu),45.450851,-73.594027,39.227722772277225
69,201,4344,191,191.0,Argyle / Bannantyne,45.453319,-73.576775,21.611940298507463
70,202,7526,192,192.0,Argyle / de Verdun,45.453016,-73.571915,37.257425742574256
71,202,5789,193,193.0,Hamilton / Jolicoeur,45.456355,-73.597557,28.65841584158416
72,201,4969,194,194.0,5e avenue / Bannantyne,45.456365,-73.57614,24.72139303482587
73,202,6711,196,196.0,4e avenue / de Verdun,45.456885,-73.572607,33.222772277227726
74,201,5106,197,197.0,Dubois / Eadie,45.457597,-73.590529,25.402985074626866
75,106,5422,198,198.0,2e avenue / Wellington,45.457893,-73.567528,51.15094339622642
76,202,14123,199,199.0,Métro Verdun (Willibrord / de Verdun),45.459488,-73.572092,69.91584158415841
77,105,5420,200,200.0,Gordon / Wellington,45.461078,-73.567307,51.61904761904762
78,202,8506,201,201.0,Parc St-Paul (Le Caron / Marc-Sauvalle),45.461685,-73.584039,42.10891089108911
79,194,8064,202,202.0,St-Patrick / Briand,45.463397,-73.596436,41.56701030927835
80,202,7287,203,203.0,de l'Église / de Verdun,45.463001,-73.571569,36.07425742574257
81,202,7624,204,204.0,de l'Église / Bannantyne,45.463254,-73.575879,37.742574257425744
82,202,8568,205,205.0,Regina / de Verdun,45.467369,-73.570769,42.415841584158414
83,202,12860,206,206.0,Métro Lasalle (de Rushbrooke / Caisse),45.470696,-73.565422,63.663366336633665
84,66,11009,207,207.0,Métro Laurier (Rivard / Laurier),45.527616,-73.589115,166.8030303030303
85,202,16556,208,208.0,St-Hubert / Laurier,45.52931,-73.588657,81.96039603960396
86,202,8920,209,209.0,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,44.15841584158416
87,202,19668,211,211.0,de Mentana / Laurier,45.53045,-73.587638,97.36633663366337
88,202,43613,214,214.0,Laurier / de Brébeuf,45.532514,-73.584811,215.90594059405942
89,202,10282,215,215.0,Garnier / St-Joseph,45.532978,-73.581222,50.9009900990099
90,202,19528,216,216.0,de Lanaudière / Laurier,45.533314,-73.583737,96.67326732673267
91,202,11422,217,217.0,Gerry-Boulet / St-Grégoire,45.533735,-73.589307,56.54455445544554
92,202,28513,218,218.0,Marquette / Laurier,45.53543,-73.5822,141.15346534653466
93,201,9587,221,221.0,Métro Crémazie (Crémazie / Lajeunesse),45.546408,-73.638428,47.69651741293532
94,202,4456,222,222.0,Clark / Fleury,45.547581,-73.665234,22.059405940594058
95,202,5787,223,223.0,Émile-Journault / de Chateaubriand,45.549833,-73.640633,28.64851485148515
96,201,6132,224,224.0,Basile-Routhier / Chabanel,45.549868,-73.647657,30.507462686567163
97,183,9968,225,225.0,Métro Sauvé (Berri / Sauvé),45.550692,-73.656367,54.46994535519126
98,201,6428,226,226.0,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103,31.980099502487562
99,60,1691,227,227.0,Complexe sportif Claude-Robillard,45.553262,-73.638615,28.183333333333334
100,200,6481,229,229.0,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162,32.405
101,202,4224,230,230.0,Chambord / Fleury,45.559828,-73.658325,20.91089108910891
102,202,2471,231,231.0,Hamel / Sauvé,45.560762,-73.650561,12.232673267326733
103,202,3777,232,232.0,Francis / Fleury,45.563872,-73.655568,18.698019801980198
104,202,3272,233,233.0,Marquette / Fleury,45.567352,-73.653787,16.198019801980198
105,202,16665,234,234.0,de l'Hôtel-de-Ville / Sherbrooke,45.514565,-73.568407,82.5
106,202,34128,235,235.0,Square St-Louis (du Square St-Louis / Laval),45.516091,-73.570129,168.95049504950495
107,202,34073,236,236.0,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.517,-73.589,168.67821782178217
108,202,25211,237,237.0,de l'Esplanade / du Mont-Royal,45.518253,-73.588338,124.8069306930693
109,202,19357,238,238.0,Villeneuve / du Parc,45.51829,-73.59235,95.82673267326733
110,202,30972,239,239.0,Roy / St-Denis,45.51908,-73.5727,153.32673267326732
111,202,35958,240,240.0,Berri / Cherrier,45.519088,-73.569509,178.009900990099
112,202,24154,241,241.0,Laval / Duluth,45.519216,-73.57718,119.57425742574257
113,202,53016,242,242.0,du Mont-Royal / Clark,45.51941,-73.58685,262.45544554455444
114,202,20668,243,243.0,Laval / Rachel,45.520179,-73.579424,102.31683168316832
115,202,14225,244,244.0,Villeneuve / St-Urbain,45.520188,-73.590559,70.42079207920793
116,202,21874,245,245.0,St-André / Cherrier,45.520524,-73.567697,108.2871287128713
117,202,21353,247,247.0,Roy / St-André,45.521564,-73.570367,105.70792079207921
118,202,15961,248,248.0,de Bullion / du Mont-Royal,45.521751,-73.585268,79.01485148514851
119,202,26108,249,249.0,Rivard / Rachel,45.522278,-73.577591,129.24752475247524
120,202,21226,250,250.0,Laval / du Mont-Royal,45.522365,-73.584146,105.07920792079207
121,202,24245,251,251.0,St-Hubert / Duluth,45.522426,-73.574184,120.02475247524752
122,202,17076,252,252.0,Berri / Rachel,45.522719,-73.577204,84.53465346534654
123,202,15812,253,253.0,Beaudry / Sherbrooke,45.523035,-73.565395,78.27722772277228
124,202,18170,254,254.0,du Parc-La Fontaine / Roy,45.522866,-73.568377,89.95049504950495
125,174,13649,255,255.0,Villeneuve / de l'Hôtel-de-Ville,45.523544,-73.587332,78.44252873563218
126,202,80999,256,256.0,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,400.98514851485146
127,202,14653,257,257.0,Marie-Anne / St-Hubert,45.524683,-73.578897,72.53960396039604
128,202,16990,258,258.0,du Parc-La Fontaine / Duluth,45.524518,-73.571977,84.10891089108911
129,202,19505,259,259.0,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,96.55940594059406
131,202,31922,261,261.0,Resther / du Mont-Royal,45.525628,-73.581775,158.02970297029702
132,202,15347,262,262.0,de Mentana / Marie-Anne,45.526027,-73.577859,75.97524752475248
133,202,14363,263,263.0,Métro Laurier (Berri / St-Joseph),45.527231,-73.586726,71.10396039603961
134,202,15112,264,264.0,Pontiac / Gilford,45.527009,-73.585766,74.81188118811882
135,196,27126,265,265.0,Émile-Duployé / Sherbrooke,45.527201,-73.564729,138.39795918367346
136,153,12081,266,266.0,Marie-Anne / de la Roche,45.527758,-73.576185,78.96078431372548
137,153,10845,267,267.0,Gilford / de Brébeuf,45.530816,-73.581626,70.88235294117646
138,202,10322,268,268.0,Gilford / de Lanaudière,45.532008,-73.580444,51.0990099009901
139,27,1851,271,271.0,Sanguinet / Ontario,45.514767,-73.565491,68.55555555555556
140,202,25698,272,272.0,Ste-Catherine / Labelle,45.515065,-73.55923,127.21782178217822
141,202,31131,273,273.0,St-André / Ste-Catherine,45.516427,-73.558112,154.1138613861386
